,Team ID,Team Name,Team Mascot,Team Win Record,Team Loss Record
262,2,Auburn,Tigers,13,14
263,57,Florida,Gators,13,8
264,61,Georgia,Bulldogs,14,11
265,96,Kentucky,Wildcats,9,15
266,99,LSU,Tigers,16,8
267,344,Mississippi State,Bulldogs,14,13
268,142,Missouri,Tigers,15,8
269,145,Ole Miss,Rebels,15,10
270,2579,South Carolina,Gamecocks,6,14
271,2633,Tennessee,Volunteers,17,7
272,245,Texas A&M,Aggies,8,9
273,238,Vanderbilt,Commodores,8,15
274,236,Chattanooga,Mocs,18,8
275,2193,East Tennessee State,Buccaneers,13,12
276,231,Furman,Paladins,16,9
277,2382,Mercer,Bears,18,10
278,2535,Samford,Bulldogs,6,13
279,2643,The Citadel,Bulldogs,13,12
280,2430,UNC Greensboro,Spartans,20,8
281,2678,VMI,Keydets,13,12
282,2717,Western Carolina,Catamounts,11,16
283,2747,Wofford,Terriers,15,9
284,2000,Abilene Christian,Wildcats,21,4
285,2110,Central Arkansas,Bears,5,19
286,2277,Houston Baptist,Huskies,5,18
287,2916,Incarnate Word,Cardinals,8,13
288,2320,Lamar,Cardinals,8,17
289,2377,McNeese,Cowboys,10,13
290,2443,New Orleans,Privateers,9,14
291,2447,Nicholls,Colonels,17,6
292,2466,Northwestern State,Demons,10,17
293,2545,SE Louisiana,Lions,7,17
294,2534,Sam Houston State,Bearkats,19,8
295,2617,Stephen F. Austin,Lumberjacks,16,5
296,357,Texas A&M-CC,Islanders,5,19
297,2010,Alabama A&M,Bulldogs,6,9
298,2011,Alabama State,Hornets,4,14
299,2016,Alcorn State,Braves,6,12
300,2029,Arkansas-Pine Bluff,Golden Lions,4,20
301,2755,Grambling,Tigers,11,11
302,2296,Jackson State,Tigers,11,5
303,2400,Mississippi Valley State,Delta Devils,2,21
304,2504,Prairie View A&M,Panthers,14,4
305,2582,Southern,Jaguars,8,10
306,2640,Texas Southern,Tigers,13,8
307,2172,Denver,Pioneers,2,19
308,155,North Dakota,Fighting Hawks,9,17
309,2449,North Dakota State,Bison,14,11
310,2437,Omaha,Mavericks,5,20
311,198,Oral Roberts,Golden Eagles,15,10
312,233,South Dakota,Coyotes,14,10
313,2571,South Dakota State,Jackrabbits,16,7
314,140,UM Kansas City,Roos,11,13
315,2710,Western Illinois,Leathernecks,7,15
316,2026,Appalachian State,Mountaineers,16,11
317,2032,Arkansas State,Red Wolves,11,13
318,324,Coastal Carolina,Chanticleers,16,7
319,290,Georgia Southern,Eagles,13,13
320,2247,Georgia State,Panthers,16,5
321,2031,Little Rock,Trojans,11,15
322,309,Louisiana,Ragin' Cajuns,17,9
323,6,South Alabama,Jaguars,17,11
324,326,Texas State,Bobcats,18,7
325,2653,Troy,Trojans,11,17
326,2433,UL Monroe,Warhawks,7,19
327,250,UT Arlington,Mavericks,13,13
328,252,BYU,Cougars,19,5
329,2250,Gonzaga,Bulldogs,24,0
330,2351,Loyola Marymount,Lions,13,9
331,279,Pacific,Tigers,9,9
332,2492,Pepperdine,Waves,12,11
333,2501,Portland,Pilots,6,15
334,2608,Saint Mary's,Gaels,14,8
335,301,San Diego,Toreros,3,11
336,2539,San Francisco,Dons,11,14
337,2541,Santa Clara,Broncos,12,8
338,2856,California Baptist,Lancers,13,9
339,2130,Chicago State,Cougars,0,9
340,3101,Dixie State,Trailblazers,8,13
341,2253,Grand Canyon,Antelopes,15,6
342,166,New Mexico State,Aggies,10,7
343,2547,Seattle U,Redhawks,11,10
344,2627,Tarleton,Texans,10,10
345,292,UT Rio Grande Valley,Vaqueros,9,9
346,3084,Utah Valley,Wolverines,11,10
